obs_idx,group_name,group_idx,country_name,country_idx,female,age,GROUP,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11P1,Q11P2,Q11P3,Q11P4,Q11P5,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29P1,Q29P2,Q29P3,Q29P4,Q29P5,Q29P6,Q29P7,Q29P8,Q30,Q31,Q32,Q33P1,Q33P2,Q33P3,Q33P4,Q33P5,Q34,Q35P1,Q35P2,Q35P3,Q35P4,Q35P5,Q35P6,Q36,Q37P1,Q37P2,Q37P3,Q37P4,Q37P5,Q37P6,Q37P7,Q37P8,Q37P9,Q37P10,Q37P11,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50P1,Q50P2,Q50P3,Q50P4,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66P1,Q66P2,Q66P3,Q66P4,Q66P5,Q67,Q68,Q69,Q70P1,Q70P2,Q70P3,Q71,Q72,Q73P1,Q73P2,Q73P3,Q73P4,Q73P5,Q74P1,Q74P2,Q74P3,Q74P4,Q75,Q76,Q77,Q78,Q79P1,Q79P2,Q79P3,Q79P4,Q79P5,Q79P6,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,supp_islam_mov,relg_awakening,pol_islam,pol_islam_binary,quran_freq,ref_relg_freq,personal_islam,sharia_sociolife,sharia_crim_civ,relg_study,social_islam,sep_relg_politics,priv_relg,opp_pol_relg,per_id,nation_id,pol_efficacy,pol_active,be_pol_active,polpart_shura,uni,student,unemployed,finan_satis,gov_ignore_ppl,offic_selfinterest,obey_lead,caliphate,over40,coop,west_values_corrupt,censor_west,west_reason_underdev,muslim_brotherhood,islamist,arab_nationalism,socialism,liberalism,income,us_me_policies,us_relation,arab_israel_sol,life_security,newspaper_freq,rev_sep_relg_politics,rev_priv_relg,pol_islam0,persocio_islam0,pol_act0,att_us0,critic_gov0,neg_west0
0,Egyptian,0,Egypt,0,0,40 & OVER,EGYPT,MALE,UNIVERSITY DEG&GRAD,40 & OVER,MARRIED,EMPLOYED,HI GRAD TEC&ADM PROF,EGPT 501&OVER,E-OLD CAIRO,VILLA,NA,r1,r2,r4,r3,r5,YES,YES,YES,YES,AGREE,NO,DO NOT AGREE,NO,NO,AGREE,NO,AGREE,NO,AGREE,AGREE,DO NOT AGREE,AGREE,r3,r5,r2,r8,r7,r1,r6,r4,STRONGLY AGREE,STRONGLY AGREE,ALWAYS,r1,r3,r4,r5,r2,1 AS STIPUL IN ISLAM,r3,r4,r1,r2,r5,NA,ALWAYS,r5,r3,r11,r2,r4,r7,r10,r1,r6,r8,r9,SOMEWHAT AGREE,AGREE,STRONGLY AGREE,SOMEWHAT,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,EVERY FRIDAY,PARLM W POL PARTIES,NO,DO NOT AGREE,r2,r4,r1,r3,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,STRONGLY AGREE,YES,LIBERALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,NA,DAILY,E-DIF D K-P IMP PROG,r1,r2,r3,r4,r5,NO,YES,IN FAVOR OF,JAMAL ABDUL NASSER,NA,NA,ABOUT THE SAME,NO,r3,r5,r2,r1,r4,r1,r2,r3,r4,AGREE,INTERNATIONAL CONFER,ALWAYS,YES,r2,r3,r1,r4,r6,r5,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,PARTLY YES,DO NOT AGREE,E-PPS K-PPS P-PJR,YES,E-RELG K-MUJT P-HRIA,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,VERY RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,NA,E-SDTE K-O/E P-PLO,NA,1,4,2.5,0,4,4,4,4,4,4,4,3,1,2,national,mediterr|gulf|sham com,0,1,1,0,1,0,0,3,1,1,1,0,1,arab unity,4,3,3,0,0,0,0,1,10,3,3,1,4,5,2,4,2.75,4,3,3,1,3.3333333333333335
1,Egyptian,0,Egypt,0,0,20-29,EGYPT,MALE,SECONDARY SCHOOL,20-29,MARRIED,EMPLOYED,TEC PROFSSIONS,EGPT 301-400,E-SHUBRA,APARTMENT,NA,r2,r1,r4,r3,r5,YES,YES,NO,YES,AGREE,NO,DO NOT AGREE,NO,YES,AGREE,NO,AGREE,NO,DO NOT AGREE,DO NOT AGREE,AGREE,AGREE,r4,r3,r1,r8,r7,r2,r6,r5,SOMEWHAT AGREE,STRONGLY AGREE,ALWAYS,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,r2,r4,r3,r1,r5,NA,SOMETIMES,r6,r9,r2,r5,r11,r4,r7,r8,r3,r1,r10,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,NO,SOMEWHAT AGREE,ALWAYS,AGREE,AGREE,DAILY,PARLM W/O POL PARTIS,YES,DO NOT AGREE,r3,r1,r4,r2,MEN RGHT DIV B-ISLAM,SOMEWHAT BETTER,STRONGLY AGREE,YES,SOCIALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,SEVERAL TIMES A WEEK,COMPAT ISLM TEACH,r2,r1,r4,r5,r3,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-ZAGH K-GHAD P-SH,E-MKAM K-SSAB P-HABS,VERY LOW,NO,r3,r1,r4,r2,r5,r1,r3,r2,r4,DO NOT AGREE,PEACE TALK/MILTRY M,ALWAYS,DO NOT KNOW,r2,r6,r1,r5,r3,r4,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,AGREE,NO,SOMEWHAT AGREE,E-PPS K-PPS P-PJR,NO,E-K-P DONOT READ MAG,DO NOT AGREE,AGREE,AGREE,AGREE,AGREE,LESS RELIGIOUS,FINAN BETTER THN MST,SOMEWHAT INSECURE,NA,E-NSSE K-O/E P-ISMC,NA,1,4,2.5,0,3,4,3.5,4,4,3,3.6666666666666665,3,1,2,muslim,islamic world,1,0,0,0,0,0,0,4,3,3,1,0,0,islamic unity,4,3,3,0,0,0,1,0,9,1,1,0,2,4,2,4,2.75,3.6,1,1,3,3.3333333333333335
2,Egyptian,0,Egypt,0,0,40 & OVER,EGYPT,MALE,SECONDARY SCHOOL,40 & OVER,MARRIED,EMPLOYED,CLERICAL PROF,141160 601700 501600,E-ELWAYLI ALKABEER,APARTMENT,10,r3,r1,r4,r2,r5,YES,YES,NO,YES,AGREE,NO,AGREE,NO,NO,AGREE,YES,AGREE,NO,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,r2,r3,r1,r7,r6,r4,r8,r5,SOMEWHAT AGREE,SOMEWHAT AGREE,ALWAYS,r2,r3,r5,r4,r1,LEGITIMATE REASON,r2,r4,r1,r3,r5,NA,SOMETIMES,r3,r9,r11,r1,r5,r6,r7,r8,r4,r2,r10,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,SOMEWHAT,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,EVERY FRIDAY,TOTAL PARTICIPATION,NO,DO NOT AGREE,r3,r2,r4,r1,MEN RGHT DIV B-ISLAM,SOMEWHAT WORSE,SOMEWHAT AGREE,NO,E SHARIAH K-P DNKNOW,NO,AGREE,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,DAILY,CONTRDICT ISLM TEACH,r1,r2,r3,r5,r4,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-QUTB K-SH P-ASSAD,HASSAN EL-BANA,ABOUT THE SAME,SOMEWHAT,r1,r3,r4,r2,r5,r2,r3,r1,NA,DO NOT AGREE,MILITARY MEANS,ALWAYS,NO,r6,r1,r2,r3,r5,r4,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,PARTLY YES,DO NOT AGREE,E-PPS K-PPS P-PJR,YES,E-RYOS K-YAQZ P-HADF,AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,FINAN BETTER THN MST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,3,4,3.5,1,3,4,3.5,3,4,3,3.3333333333333335,3,1,2,muslim,arab world,1,1,1,0,0,0,0,4,1,1,1,0,1,islamic unity,3,3,1,0,0,0,0,0,6,3,3,0,3,5,2,4,3.25,3.4,3,3,1,2.3333333333333335
3,Egyptian,0,Egypt,0,0,40 & OVER,EGYPT,MALE,READ & WRITE,40 & OVER,MARRIED,EMPLOYED,PA/EG JOUR-KU MI/POL,181200 801900 701800,E-SHUBRA,APARTMENT,50,r3,r1,r2,r4,r5,YES,YES,YES,YES,AGREE,YES,AGREE,YES,NO,AGREE,YES,AGREE,NO,DO NOT KNOW,AGREE,DO NOT AGREE,AGREE,r4,r3,r1,r5,r8,r2,r7,r6,STRONGLY AGREE,DO NOT AGREE,ALWAYS,r3,r2,r4,r5,r1,JUSTICE IN POLYGAMY,r3,r4,r1,r2,r5,NA,SOMETIMES,r10,r1,r9,r8,r4,r5,r11,r7,r3,r2,r6,DO NOT AGREE,AGREE,SOMEWHAT AGREE,SOMEWHAT,DO NOT KNOW,ALWAYS,AGREE,AGREE,SOMETIMES,MAJLES SHURA,YES,AGREE,r2,r1,r4,r3,WOMEN RGHT DIVORCE,SOMEWHAT BETTER,STRONGLY AGREE,NO,SOCIALISM,YES,AGREE,AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,PREFER STATUS QUO,I D/N READ NEWSPAPER,COMPAT ISLM TEACH,r2,r1,r3,r5,r4,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-ZAGH K-GHAD P-SH,HASSAN EL-BANA,VERY LOW,NO,r4,r5,r3,r1,r2,r1,r2,r3,r4,DO NOT AGREE,INTERNATIONAL CONFER,RARELY,DO NOT KNOW,r6,r1,r5,r2,r3,r4,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,AGREE,NO,STRONGLY AGREE,E-PPS K-PPS P-PJR,NO,E-K-P DONOT READ MAG,AGREE,AGREE,AGREE,AGREE,AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,1,4,2.5,0,3,4,3.5,1,4,4,3,1,4,2.5,muslim,islamic world,0,0,0,1,0,0,0,3,4,3,1,0,1,islamic unity,4,3,3,0,0,0,1,0,8,3,2,1,3,1,4,1,2.5,3.2,1,2.5,3.5,3.3333333333333335
4,Egyptian,0,Egypt,0,0,20-29,EGYPT,MALE,SECONDARY SCHOOL,20-29,NEVER MARRIED,EMPLOYED,TEC PROFSSIONS,EGPT 301-400,E-SHUBRA,TRADITIONAL HOUSE,50,r3,r1,r2,r4,r5,YES,YES,NO,YES,AGREE,NO,DO NOT KNOW,YES,NO,DO NOT AGREE,YES,AGREE,YES,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,r3,r6,r2,r7,r5,r4,r8,r1,STRONGLY AGREE,YES-IF INTP MOD NEED,ALWAYS,r2,r4,r3,r5,r1,1 AS STIPUL IN ISLAM,r2,r3,r4,r1,r5,NA,SOMETIMES,r5,r8,r4,r6,r10,r1,r11,r9,r3,r2,r7,SOMEWHAT AGREE,AGREE,STRONGLY AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,DAILY,PARLM W POL PARTIES,YES,DO NOT AGREE,r3,r1,r4,r2,MEN RGHT DIV B-ISLAM,SOMEWHAT BETTER,STRONGLY AGREE,NO,MUSLIM BROTHERHOOD,YES,AGREE,AGREE,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,SEVERAL TIMES A WEEK,CONTRDICT ISLM TEACH,r2,r1,r4,r5,r3,YES,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-MUBK K-ARAF P-MUBK,E-SADT K-KHTB P-HAWT,VERY LOW,UNCERTAIN,r2,r5,r3,r1,r4,r1,r2,r3,r4,DO NOT AGREE,CAMP DAVID TYPE TALK,ALWAYS,YES,r3,r1,r6,r2,r5,r4,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,AGREE,PARTLY YES,STRONGLY AGREE,E-PPS K-PPS P-PJR,YES,E-DNP K-P WOMEN/SPOT,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,FINAN WORSETHN MST,VERY SECURE,E-OPENDED K-P 1950S,E-MUBE K-O/E P-MUBK,NA,2,4,3,1,3,4,3.5,2,4,4,3.3333333333333335,3,1,2,muslim,islamic world,1,1,1,0,0,0,0,1,4,3,1,1,0,islamic unity,4,3,3,1,1,0,0,0,9,1,1,1,4,4,2,4,3,3.4,3,1,3.5,3.3333333333333335
5,Egyptian,0,Egypt,0,1,LESS THAN 20,EGYPT,FEMALE,SECONDARY SCHOOL,LESS THAN 20,NEVER MARRIED,EMPLOYED,CLERICAL PROF,60&LES 200&LS 100&LS,E-SHUBRA,APARTMENT,10,r3,r1,r5,r2,r4,YES,YES,NO,YES,AGREE,YES,DO NOT AGREE,YES,YES,DO NOT AGREE,NO,AGREE,YES,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,r2,r4,r1,r6,r5,r3,r8,r7,SOMEWHAT AGREE,YES-IF INTP MOD NEED,SOMETIMES,r2,r3,r4,r5,r1,1 AS STIPUL IN ISLAM,r3,r4,r1,r2,r5,NA,SOMETIMES,r7,r9,r6,r3,r8,r5,r10,r4,r1,r2,r11,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,UNCETAIN,STRONGLY AGREE,ALWAYS,AGREE,AGREE,RARELY,MAJLES SHURA,YES,DO NOT AGREE,r4,r2,r3,r1,MEN RGHT DIV B-ISLAM,SOMEWHAT BETTER,UNCERTAIN,YES,LIBERALISM,NO,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,PREFER STATUS QUO,DAILY,COMPAT ISLM TEACH,r2,r1,r3,r4,r5,YES,YES,DO NOT KNOW,E-MUBK K-ARAF P-MUBK,E-ZAGH K-GHAD P-SH,E-MKAM K-SSAB P-HABS,STRONGER,NO,r5,r1,r4,r3,r2,r1,r3,r2,r4,DO NOT KNOW,ISRAEL-PLO TALKS,SOMETIMES,DO NOT KNOW,r3,r2,r1,r4,r6,r5,ISLAMIC SHARIAH,DO NOT AGREE,AGREE,AGREE,DO NOT KNOW,DO NOT AGREE,AGREE,PARTLY YES,UNCERTAIN,E-CPRP K-PPRP P-EPS,YES,E-WOM/SR K-P MT ONE,AGREE,AGREE,AGREE,DO NOT KNOW,DO NOT AGREE,LESS RELIGIOUS,FINAN WORSETHN MST,SOMEWHAT SECURE,NA,E-MUBE K-O/E P-MUBK,NA,1,2,1.5,0,3,3,3,2,4,3,3,3,1,2,muslim,arab world,1,1,1,1,0,0,0,1,2,2,1,1,0,islamic unity,2,3,2,0,0,0,0,1,1,2,3,1,3,5,2,4,2.25,3,3,2.5,2,2.3333333333333335
6,Egyptian,0,Egypt,0,0,20-29,EGYPT,MALE,SECONDARY SCHOOL,20-29,MARRIED,EMPLOYED,TEC PROFSSIONS,121140 501600 401500,E-SHUBRA,APARTMENT,10,r3,r1,r2,r4,r5,NO,NO,NO,YES,AGREE,NO,AGREE,YES,NO,AGREE,YES,AGREE,DO NOT KNOW,AGREE,AGREE,AGREE,AGREE,r5,r4,r1,r6,r8,r2,r7,r3,STRONGLY AGREE,STRONGLY AGREE,SOMETIMES,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,r3,r5,r1,r2,r4,NA,SOMETIMES,r6,r10,r4,r3,r9,r5,r8,r7,r2,r1,r11,SOMEWHAT AGREE,AGREE,SOMEWHAT AGREE,SOMEWHAT,SOMEWHAT AGREE,ALWAYS,AGREE,DO NOT AGREE,EVERY FRIDAY,MAJLES SHURA,YES,DO NOT AGREE,r3,r1,r4,r2,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,STRONGLY AGREE,NO,ARAB NATIONALISM,NO,AGREE,AGREE,AGREE,AGREE,AGREE,SOMEWHAT AGREE,PREFER STATUS QUO,SEVERAL TIMES A WEEK,CONTRDICT CUS&TRAD,r2,r1,r3,r4,r5,NO,YES,IN FAVOR OF,E-ZAGH K-GHAD P-SH,E-SADT K-KHTB P-HAWT,E-MKAM K-SSAB P-HABS,LES THAN PREVOUS YRS,SOMEWHAT,r3,r5,r2,r1,r4,r1,r3,r2,r4,AGREE,MILITARY MEANS,SOMETIMES,YES,r2,r4,r3,r1,r5,r6,ISLAMIC SHARIAH,AGREE,AGREE,DO NOT AGREE,AGREE,DO NOT AGREE,AGREE,NO,DO NOT AGREE,E-PPS K-PPS P-PJR,YES,E-K-P DONOT READ MAG,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,NOT SATIS W FINAN ST,SOMEWHAT INSECURE,E-OPENDED K-P 1960S,E-SDTE K-O/E P-PLO,NA,3,4,3.5,1,3,3,3,4,4,4,4,3,3,3,muslim,islamic world,0,0,1,1,0,0,0,2,1,3,1,0,0,islamic unity,4,3,3,0,0,1,0,0,5,3,3,0,2,4,2,2,2.75,3.6,2,3,2,3.3333333333333335
7,Egyptian,0,Egypt,0,1,LESS THAN 20,EGYPT,FEMALE,INTERMEDIATE SCHL,LESS THAN 20,NEVER MARRIED,STUDENT,NA,181200 801900 701800,E-SHUBRA,TRADITIONAL HOUSE,NA,r2,r1,r3,r4,r5,NO,DO NOT KNOW,NO,YES,AGREE,YES,DO NOT KNOW,NO,YES,DO NOT KNOW,NO,DO NOT AGREE,YES,AGREE,DO NOT KNOW,AGREE,AGREE,r3,r8,r4,r6,r2,r1,r7,r5,UNCERTAIN,STRONGLY AGREE,SOMETIMES,r2,r3,r5,r4,r1,SEPAR RIGHT FR WOMEN,r4,r3,r2,r1,r5,NA,SOMETIMES,r7,r2,r9,r1,r3,r4,r10,r8,r5,r11,r6,UNCERTAIN,DO NOT AGREE,DO NOT KNOW,NO,SOMEWHAT AGREE,SOMETIMES,DO NOT AGREE,AGREE,NEVER,MAJLES SHURA,YES,DO NOT AGREE,r2,r1,r4,r3,WOM RGHT DIV B-ISLAM,SOMEWHAT BETTER,UNCERTAIN,YES,MUSLIM BROTHERHOOD,NO,DO NOT AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,STRONGLY AGREE,CHANGE IN INDIV R/L,SEVERAL TIMES A WEEK,COMPAT ISLM TEACH,r1,r2,r5,r3,r4,DO NOT KNOW,NO,AGAINST,JAMAL ABDUL NASSER,NA,NA,ABOUT THE SAME,YES,r2,r4,r3,r1,r5,r1,r3,r2,r4,DO NOT KNOW,MILITARY MEANS,SOMETIMES,DO NOT KNOW,r2,r1,r4,r3,r6,r5,NOTHING,AGREE,AGREE,DO NOT KNOW,AGREE,AGREE,DO NOT KNOW,NO,STRONGLY AGREE,E-CPT K-PIMPO P-PRPA,NO,E-AHAL K-TALI P-SKRA,DO NOT KNOW,AGREE,AGREE,DO NOT KNOW,DO NOT KNOW,VERY RELIGIOUS,SATISFIED W FINAN ST,SOMEWHAT SECURE,NA,E-NSSE K-O/E P-ISMC,NA,4,1,2.5,0,3,3,3,4,4,2,3.3333333333333335,2,4,3,muslim,islamic world,0,0,0,1,0,1,0,3,4,3,0,1,0,islamic unity,2,1,2,1,1,0,0,0,8,1,3,0,3,4,3,1,2.25,3.2,1,2,3.5,1.6666666666666667
8,Egyptian,0,Egypt,0,0,40 & OVER,EGYPT,MALE,UNIVERSITY DEG&GRAD,40 & OVER,MARRIED,EMPLOYED,BUSINESS,EGPT 501&OVER,E-ELMOHANDESSIN,APARTMENT,NA,r3,r1,r5,r2,r4,YES,NO,NO,YES,AGREE,NO,AGREE,YES,YES,DO NOT AGREE,NO,AGREE,YES,AGREE,DO NOT AGREE,AGREE,AGREE,r2,r4,r1,r8,r7,r3,r5,r6,STRONGLY AGREE,STRONGLY AGREE,ALWAYS,r2,r3,r4,r5,r1,LEGAL PUNISHMENT,r3,r2,r4,r1,r5,NA,SOMETIMES,r5,r8,r9,r1,r6,r3,r11,r7,r10,r4,r2,SOMEWHAT AGREE,AGREE,STRONGLY AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,DO NOT AGREE,EVERY FRIDAY,MAJLES SHURA,YES,DO NOT AGREE,r3,r1,r4,r2,MEN RGHT DIVORCE,GETTING BETTER,STRONGLY AGREE,YES,ARAB NATIONALISM,NO,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,SOMEWHAT AGREE,CHANGE IN INDIV R/L,DAILY,CONTRDICT CUS&TRAD,r1,r4,r2,r3,r5,YES,YES,IN FAVOR OF,E-ZAGH K-GHAD P-SH,HASSAN EL-BANA,NA,ABOUT THE SAME,YES,r2,r3,r5,r1,r4,r3,r2,r1,r4,DO NOT AGREE,INTERNATIONAL CONFER,SOMETIMES,YES,r6,r1,r3,r2,r4,r5,ISLAMIC SHARIAH,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,AGREE,AGREE,AGREE,NO,DO NOT AGREE,E-PPS K-PPS P-PJR,NO,E-K-P POL MAG,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY INSECURE,NA,E-NSSE K-O/E P-ISMC,NA,4,4,4,1,3,4,3.5,4,4,4,4,3,3,3,muslim,islamic world,1,0,0,1,1,0,0,3,1,3,1,1,1,islamic unity,4,3,1,0,0,1,0,0,10,1,3,1,1,5,2,2,3,3.8,1,2,2,2.6666666666666665
9,Egyptian,0,Egypt,0,1,20-29,EGYPT,FEMALE,SECONDARY SCHOOL,20-29,NEVER MARRIED,EMPLOYED,CLERICAL PROF,6180 201300 101200,E-IMBABA,APARTMENT,10,r3,r1,r2,r4,r5,NO,NO,NO,YES,AGREE,YES,DO NOT AGREE,YES,YES,DO NOT AGREE,NO,AGREE,YES,DO NOT KNOW,AGREE,AGREE,DO NOT AGREE,r2,r5,r1,r8,r6,r3,r7,r4,STRONGLY AGREE,YES-IF INTP MOD NEED,SOMETIMES,r2,r3,r4,r5,r1,SEPAR RIGHT FR WOMEN,r4,r3,r1,r2,r5,NA,ALWAYS,r2,r8,r1,r6,r10,r5,r7,r9,r3,r4,r11,SOMEWHAT AGREE,AGREE,STRONGLY AGREE,NO,STRONGLY AGREE,ALWAYS,AGREE,AGREE,NEVER,PARLM W/O POL PARTIS,YES,DO NOT AGREE,r2,r1,r4,r3,WOM RGHT DIV B-ISLAM,GETTING WORSE,STRONGLY AGREE,YES,MUSLIM BROTHERHOOD,NO,AGREE,AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,DO NOT AGREE,PREFER STATUS QUO,DAILY,COMPAT ISLM TEACH,r1,r2,r3,r4,r5,DO NOT KNOW,YES,IN FAVOR OF,JAMAL ABDUL NASSER,E-ZAGH K-GHAD P-SH,E-SADT K-KHTB P-HAWT,VERY LOW,YES,r1,r5,r3,r2,r4,r1,r2,r3,r4,AGREE,ISRAEL-PLO TALKS,SOMETIMES,NO,r5,r3,r6,r2,r4,r1,AL BAATH,AGREE,AGREE,DO NOT AGREE,AGREE,AGREE,DO NOT AGREE,NO,STRONGLY AGREE,E-PPS K-PPS P-PJR,NO,E-RELG K-MUJT P-HRIA,AGREE,AGREE,AGREE,AGREE,DO NOT AGREE,LESS RELIGIOUS,SATISFIED W FINAN ST,VERY SECURE,NA,E-SDTE K-O/E P-PLO,NA,4,4,4,1,4,3,3.5,2,4,4,3.3333333333333335,3,1,2,muslim,islamic world,0,0,0,0,0,0,0,3,4,3,0,1,0,islamic unity,4,3,3,1,1,0,0,0,2,1,2,1,4,5,2,4,3.5,3.4,1,1.5,3.5,3.3333333333333335
